Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
30100, 79, 5391, 3000, 8732
30150, -8, 5551, 3000, 8732
30200, 50, 5444, 3000, 8778
30251, 106, 5340, 3000, 8778
30300, -8, 5551, 3000, 8644
30349, 21, 5497, 3000, 8780
30400, 106, 5340, 3000, 8780
30450, 79, 5391, 3000, 8736
30499, 21, 5497, 3000, 8824
30550, 50, 5444, 3000, 8782
30600, 50, 5444, 3000, 8783
30650, -8, 5551, 3000, 8738
30699, 106, 5340, 3000, 8739
30749, 50, 5444, 3000, 8827
30801, 21, 5497, 3000, 8740
30850, -69, 5664, 3000, 8650
30899, 50, 5444, 3000, 8786
30949, 50, 5444, 3000, 8741
31000, 21, 5497, 3000, 8742
31049, -8, 5551, 3000, 8742
31100, 21, 5497, 3000, 8788
31149, 106, 5340, 3000, 8830
31200, 50, 5444, 3000, 8743
31249, 21, 5497, 3000, 8744
31299, 79, 5391, 3000, 8789
31349, 21, 5497, 3000, 8745
31400, -8, 5551, 3000, 8746
31449, 21, 5497, 3000, 8746
31499, -8, 5551, 3000, 8746
31549, -39, 5607, 3000, 8747
31600, 50, 5444, 3000, 8791
31649, 21, 5497, 3000, 8792
31700, -8, 5551, 3000, 8748
31749, 50, 5444, 3000, 8835
31799, 21, 5497, 3000, 8793
31849, 21, 5497, 3000, 8749
31899, 21, 5497, 3000, 8794
31949, -8, 5551, 3000, 8750
32000, -39, 5607, 3000, 8751
32049, 50, 5444, 3000, 8795
32099, -8, 5551, 3000, 8660
32149, -39, 5607, 3000, 8751
32199, 21, 5497, 3000, 8796
32249, 21, 5497, 3000, 8796
32299, -8, 5551, 3000, 8752
32349, 50, 5444, 3000, 8797
32400, 21, 5497, 3000, 8752
32449, -8, 5551, 3000, 8753
32499, 21, 5497, 3000, 8798
32550, 21, 5497, 3000, 8753
32599, -8, 5551, 3000, 8754
32649, 50, 5444, 3000, 8799
32699, 21, 5497, 3000, 8754
32749, -39, 5607, 3000, 8755
32800, 50, 5444, 3000, 8800
32850, -8, 5551, 3000, 8755
32899, 21, 5497, 3000, 8756
32949, 50, 5444, 3000, 8801
32999, 21, 5497, 3000, 8665
33049, -8, 5551, 3000, 8756
33099, 79, 5391, 3000, 8756
33150, 21, 5497, 3000, 8756
33200, -8, 5551, 3000, 8757
33249, 50, 5444, 3000, 8757
