Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
25600, 50, 5444, 3000, 8643
25649, 21, 5497, 3000, 8689
25699, 21, 5497, 3000, 8732
25749, 79, 5391, 3000, 8733
25799, 79, 5391, 3000, 8692
25849, 79, 5391, 3000, 8777
25900, 21, 5497, 3000, 8737
25949, 106, 5340, 3000, 8737
25999, 50, 5444, 3000, 8738
26049, 79, 5391, 3000, 8652
26099, 106, 5340, 3000, 8653
26151, 50, 5444, 3000, 8654
26199, 50, 5444, 3000, 8655
26249, -8, 5551, 3000, 8656
26299, 21, 5497, 3000, 8657
26349, -8, 5551, 3000, 8658
26399, 50, 5444, 3000, 8704
26450, 21, 5497, 3000, 8705
26499, 50, 5444, 3000, 8661
26550, 21, 5497, 3000, 8791
26599, 79, 5391, 3000, 8749
26649, 79, 5391, 3000, 8751
26699, 79, 5391, 3000, 8664
26750, 50, 5444, 3000, 8665
26799, -8, 5551, 3000, 8666
26849, 21, 5497, 3000, 8667
26899, 21, 5497, 3000, 8668
26950, 21, 5497, 3000, 8756
26999, 50, 5444, 3000, 8799
27050, 50, 5444, 3000, 8716
27099, 50, 5444, 3000, 8801
27149, 79, 5391, 3000, 8717
27199, 79, 5391, 3000, 8718
27249, 21, 5497, 3000, 8674
27299, 21, 5497, 3000, 8675
27349, -39, 5607, 3000, 8721
27399, 50, 5444, 3000, 8763
27449, 79, 5391, 3000, 8677
27499, 50, 5444, 3000, 8765
27549, 50, 5444, 3000, 8679
27601, 50, 5444, 3000, 8680
27649, 21, 5497, 3000, 8680
27699, -8, 5551, 3000, 8727
27749, 21, 5497, 3000, 8770
27799, 50, 5444, 3000, 8813
27849, 79, 5391, 3000, 8729
27900, 50, 5444, 3000, 8730
27949, -8, 5551, 3000, 8686
28000, 21, 5497, 3000, 8732
28049, 21, 5497, 3000, 8733
28099, 79, 5391, 3000, 8775
28149, 50, 5444, 3000, 8689
28200, 50, 5444, 3000, 8690
28250, -8, 5551, 3000, 8691
28299, 21, 5497, 3000, 8601
28349, 21, 5497, 3000, 8779
28399, 21, 5497, 3000, 8737
28449, 79, 5391, 3000, 8738
28500, 79, 5391, 3000, 8739
28549, 21, 5497, 3000, 8694
28599, 21, 5497, 3000, 8695
28650, 50, 5444, 3000, 8825
28699, 21, 5497, 3000, 8741
28749, 79, 5391, 3000, 8742
28799, 50, 5444, 3000, 8697
28849, 50, 5444, 3000, 8698
28899, -8, 5551, 3000, 8699
28949, 50, 5444, 3000, 8745
28999, 79, 5391, 3000, 8700
29051, 106, 5340, 3000, 8831
29099, 21, 5497, 3000, 8702
29149, 21, 5497, 3000, 8703
29199, 21, 5497, 3000, 8749
29249, 50, 5444, 3000, 8750
29299, 21, 5497, 3000, 8705
29350, 21, 5497, 3000, 8705
29399, -39, 5607, 3000, 8706
29449, 21, 5497, 3000, 8751
29499, 50, 5444, 3000, 8836
29549, 79, 5391, 3000, 8795
29599, -8, 5551, 3000, 8708
29650, 50, 5444, 3000, 8755
29699, 50, 5444, 3000, 8755
29749, 79, 5391, 3000, 8798
29799, -8, 5551, 3000, 8711
29850, -8, 5551, 3000, 8712
29899, 50, 5444, 3000, 8842
29951, 50, 5444, 3000, 8800
30001, 79, 5391, 3000, 8758
30049, -8, 5551, 3000, 8623
30099, 50, 5497, 3000, 8759
30150, 106, 5340, 3000, 8760
